property_name,raw_location,proposed_clean_location,proposed_area_type,priority,square_footage,development_notes
Cabbagetown,2 Exits west/east,2 Exits west/east,Corridor / Hallway,High Priority,,
Cabbagetown,2 Sitting Areas,2 Sitting Areas,Other / Unknown,High Priority,,
Cabbagetown,3 Elevator,3 Elevator,Elevator,High Priority,,
Cabbagetown,3 Elevators (#E1 to #E3),3 Elevators (#E1 to #E3),Elevator,High Priority,,
Cabbagetown,ALL the amenities,ALL the amenities,Amenity,High Priority,,
Cabbagetown,Amenities,Amenities,Amenity,High Priority,,
Cabbagetown,Chutes 27th to 2nd,Chutes 27th to 2nd,Waste / Garbage,High Priority,,
Cabbagetown,Corridor lighting,Corridor lighting,Corridor / Hallway,High Priority,,
Cabbagetown,Corridors (5 floors/day),Corridors (5 floors/day),Corridor / Hallway,High Priority,,
Cabbagetown,"Elevator Tracks #E1,#E2,#E3 27th-12th","Elevator Tracks #E1,#E2,#E3 27th-12th",Elevator,High Priority,,
Cabbagetown,Elevator doors and frames,Elevator doors and frames,Elevator,High Priority,,
Cabbagetown,Elevator doors and frames & TRACKS (that floor only),Elevator doors and frames & TRACKS (that floor only),Elevator,High Priority,,
Cabbagetown,Gr. Floor Areas,Gr. Floor Areas,Other / Unknown,High Priority,,
Cabbagetown,Gym,Gym,Fitness,High Priority,,
Cabbagetown,Gym machinery,Gym machinery,Fitness,High Priority,,
Cabbagetown,Hallway where the amenities are located,Hallway where the amenities are located,Corridor / Hallway,High Priority,,
Cabbagetown,In front of elevators 27th to 2nd floor / exits doors,In front of elevators 27th to 2nd floor / exits doors,Elevator,High Priority,,
Cabbagetown,Kitchen and kitchenettes,Kitchen and kitchenettes,Amenity,High Priority,,
Cabbagetown,Leasing Office,Leasing Office,Office / Admin,High Priority,,
Cabbagetown,Mail room/ Parcel Rm.,Mail room/ Parcel Rm.,Office / Admin,High Priority,,
Cabbagetown,Main entrance w/Enterphone area,Main entrance w/Enterphone area,Lobby,High Priority,,
Cabbagetown,P1 elevator doors,P1 elevator doors,Elevator,High Priority,,
Cabbagetown,P2 hallway doors / exit doors / elevator,P2 hallway doors / exit doors / elevator,Elevator,High Priority,,
Cabbagetown,Parking 1 Amenities - Marker's room,Parking 1 Amenities - Marker's room,Parking,High Priority,,
Cabbagetown,Parking 1 Amenities - Men's washrooms w/2 stalls,Parking 1 Amenities - Men's washrooms w/2 stalls,Washroom / Change Room,High Priority,,
Cabbagetown,Parking 1 Amenities - Pet spa,Parking 1 Amenities - Pet spa,Amenity,High Priority,,
